Porqué,Limitación
,NINGUNA
no veo beneficio en lo personal ,el cambio de medio del transporte puesto que aumento el cambio economico 
Evitar aglomeraciones ,ninguna
,NINGUNO
"Porque nosotros rolamos turnos, trabajamos 4 días, 2 noches y dos descansos (es decir que no siempre trabajo de lunes a sabado, puede ser de martes a domingo, de miercoles a lunes, etc.) Y en dichos horarios es cuando menos tráfico hay.","La gente que sale a carretera para ir a ""pasear"" o vacacionar puesto que yo debo usar Carretera Chapala para llegar a mi lugar de trabajo y hay mucha gente que la usa para salir de viaje cuando aún no deberían y ellos son los que causan aglomeraciones."
Para menos riesgos,  Usando cubrevocas diario  tomando su distancia y desinfectandoce  a cada rato
Para evitar que se junten más personas y evitar contajios,Me limito a tener contacto con personas que no traigan cubre bocas y no guarden su distancia  
POR APOYO,NINGUNA
Por más facilidad de transporte ,El transporte 
Porque así puedo salir mas temprano y evitar el trafico,"El trafica que hay tanto al entrar como al salir del trabajo y a eso le sumó todas las obras viales que hay, complica mucho la movilidad"
Por qué si adelanto salgo más temprano y si lo atraso puedo hacer otras actividades por la mañana,Ninguna
"Siempre es bueno evitar el trafico, menos gasto de gasolina y quizá emisiones a la atmosfera",de mi parte no he visto limitación ya que me he desempeñado en mayor porcentaje en home office por lo que ha sido el mínimo desplazamiento al área de trabajo
Evitar trafico,No voy estoy desde casa trabajando
mi horario es flexible,ninguna
"Mejor horario, para salir mas temprano y no agarrar el trafico de las 6 PM.","Ninguna, ahora con la pandemia es mas fácil moverse en la ciudad. "
NO ME AFECTA,NO ME AFECTA
X,X
Por el congestionamiento en carretera a Chapala y el pésimo servicio del transporte de los Chapaleros de Arvento hacia Guadalajara,"Que los Chapaleros no tiene suficientes camiones con la pandemia recortaron más... Los camiones van llenos porque antes salían cada 15 min y ahora cada 30 min y van súper llenos,  pésimo el servicio de transporte, lo malo es que son un monopolio y nadie les hace nada... Hay mucha gente ahí en ese fraccionamiento y parece que nos hacen el favor, autoricen ingresar otras rutas URGE!!"
Por el congestinamiento que se hace en el teayecto de vuelta  a casa.,el trafico que se hace de regreso a casa es insoportable y no hay un retorno bien establecido en el km 13 solo un paso por debajo de la carretera que se satura.
"Por el tiempo de trasladó, y el tiempo de pasar del transporte.",El paso del transporte es muy tardado ya qu solo es una ruta la UE viene del salto a carretera a Chapala.
se puede contaminar en el camión.,"no ninguna,gracias por el apoyo de mi empresa,al prestar vehículo.  y agradecer el apoyo de cuidarme y cuidar a los demás.   "
para evitar el congestionamiento,la indicación de quedarnos en casa
Caminando,Ninguna
NO IMPLICA CAMBIOS,NINGUNO
NO IMPLICA CAMBIOS,NINGUNA
Haci estamos vien con los hprarios,El trafico
Pues si fuera muchp el riesgo de contagio si lo cambiaria,Ninguna hasta ahorita
NO PERO SI LA EMPRESA LO REQUIERE SI,NINGUNO
Tengo compromisos en casa,De trabajo ninguno 
,No he tenido ninguna limitación para trasladarme a mi lugar de trabajo
No es necesario estoy bien con mis horarios,El transporte. Publico es mas lento y hace congestion en el camion 
"No lo creo conveniente,","No e tenido ningún problema co mi traslado, "
Es cómodo el horario,Ninguna
A ESA HORA QUE SALGO DE CASA NO HAY TANTO TRAFICO,NO TENGO LIMITACION
,NINGUNA
Vialidad mas libre,"Los horarios, medidas preventivas y accesos"
para asi facilitar a personas que vayan mas lejos,ninguna  
SI,NINGUNA
POR QUE NO,NINGUNA
pora estar en contanto con menos jente por la sana distancia,todo asido igual
no,ninguno
"Actualmente se tiene mucha precaución en el transporte proporcionado por la empresa, además de cubrebocas utilizamos careta de protección. También tenemos el espacio suficiente para mantener una sana distancia.  En cuanto a la pregunta, si estaría dispuesto en dado caso que fuera necesario, pero yo considero que tenemos las debidas precauciones.",Ninguna  El transporte que nos proporciona la empresa sigue los rubros de sanidad correctos
,el dinero se esta gastando mas de lo abitual 
Considero que no conviene por mi tipo de actividades que realizo.,De momento ninguno
Tengo otras actividades que realizar ,No he encontrado algún problema
Para moverme mas facil en el transporte con mas tiempo a mi favor,transporte publico 
se dividio el transporte para hacer dos rutas,ninguna
no porque uso mi propio transporte,la descompostura de mi carro o mantenimiento de el mismo
evitar tráfico a la salida,Ninguna
Por que hay acceso rápido que no podría causar algún retrazo ,Ninguno
Van más vacío,Ninguna
,Ninguna
ESTOY  A GUSTO PERO SI LA EMPRESA LO REQUIERE SI,NINGUNO
para llegar mas temprano ,salir solo para no tener contacto con otras personas
NO PERJUDICA EN NADA EL HORARIO QUE TENEMOS  ,NINGUNA  
para evitar congestiones,ninguna
no he tenido retrasos en el transporte ,NINGUNO
"Si lo necesitan, apoya",A exponerte 
Hay menos tráfico por la mañana,"No usar el trasporte de la empresa para evitar contacto con muchas personas, por lo que me traslado con un compañero en su vehículo particular lo cual es más caro."
,Al no salir al trabajo por que me descansaron 
,NADA
Para evitar congestinsmiento d personal e planta ,Lo impertencion y deabetes
No  me afecta,por medidas prevencion
por la seguridad ,Espacios en la unidad y por las de protección 
No me afecta el adelantarlo  o atrazarlo  ,Ninguna 
Aprovechamiento del trabajo por ser mas temprano,"No poder visitar a los familiares, y pasear con mi familia"
PORSI SE REQUIERE,NINGUNO
no me beneficia el hacer el cambio,el preocuparse por traer las medidas de protección.
,NINGUNA
SI SE REQUIERE ,NINGUNA
las que la empresa requiera,ninguna
segun lo requiera la empresa,nunguna
,Ninguna
,ni uno
,Ninguna
Ya lo modificaron,El dinero
evitar congestiones en el trasporte  ,ninguna
,ninguna
para seguir las medidas de prebension de la pandemia,niguna
tengo un horario donde no hay mucho trafico y es mas facil desplasarse,que tengo que usar mas los automóviles propios y es mas gasto por los costos de mantenimiento y gasolina
,Camiones llenos 
A SI ESTA BIEN,NINGUNA
PARA ENTRAR MAS TAMPRANO,LA FALTA DE TRANSPORTE Y EL AGLOMERAMIENTO DE GENTE
NO ME AFECTA EN EL TIEMPO Y NO AFECTO LA PRODUCTIVIDAD DE LA EMPRESA.,"NO TENGO PROBLEMAS, VIVO MUY CERCA, EN DADO CASO DE NO UTILIZAR EL VEHICULO, PUEDO UTIL.LIZAR LA MOTOCICLETA O VEIR CAMINANDO."
Me da igual. ,Ninguno 
SI,NIGUNA
,ninguna
,Ninguno
PARA EVITAR TRAFICO,FALTA DE TRASPORTE
haci estoy bien,ninguna...
ENTRAR MAS TEMPRANO Y SALIR MAS TEMPRANO,FALTA DE TRASPORTE
Por la mañana muy  temprano evitando horas pico esta mas ligero el transito y yo tengo que cruzar la ciudad,El costo de combustible y mantenimiento del auto
Si la empresa me lo indica,En el transporte publicoya no pasa con frecuencia
el tráfico ya se volvió normal,ninguno
"Prefiero empezar mas temprano y evitar congestionamientos.  Más tarde no es opción, prefiero estar con la familia",Ninguna
Por las inspecciones de los equipos.,Pocos Transportes Públicos. 
Porque es mas fácil entrar temprano al trabajo las vialidades están menos congestionadas y manejas mas tranquilo ,"la movilidad sigue habiendo el mismo trafico en las calles, pero ahora que me cambiaron el horario hace mes y medio entro una hora mas temprano y me desplazo mucho mejor "
Se desfasan los horarios de mayor concurrencia ,El no tener coche
Para menos trafico,Ninguna porque es vehículo propio
Porque uso mi auto particular,No tengo ninguna limitación
NO USO TRANSPORTE PUBLICO,NINGUNA
Hay menos movilidad,No tengo limitacion ya que el medio de transporte es personal. 
,NINGUNO
"No tendria problema en llegar mas temprano o mas tarde , si es que se requiere apoyar a todos","Hasta ahora no me he transladado, pero si empezara a hacerlo no tendria problme ya que tengo auto de la compañia"
,Traslado ya que hay más tráfico 
Ya lo hago ,Mover a más lugares más gente sin faltar a mi horario de trabajo
Evitar el congestionamiento en la mañana ,"Ninguna, de hasta hace unas semanas estaba la vía libre pero últimamente se ha vuelto a ver increme en el tráfico"
La hora pico de entrada es entre 8-9 am. La hora pico de salida es entre 5-7,"Ninguna, trabajo desde casa."
,EL DISTANCIAMIENTO PERSONAL
Mejorar trafico,Por seguridad usar vehículo particular es más gasto económico
Asi lo estuve haciendo un tiempo y no hubo problema,Vehiculo
Para unirme más temprano con mi hija.,Básicamente la limitación se centra en las medidas que se deben tener para evitar contagios.
tengo horario de turno.,ninguna.
No se me facilita,gente en el autobus
Me gusta salsir de mis labores más temprano.,Que tengo que utilizar a diario mi automóvil propio lo cual me genera más gastos.
,NINGUNA
para que haya menor cantidad de coches circulando,no he tenido necesidad por el Home office
Porque a la hora que ingreso al trabajo no hay congestion,Ninguna
POR QUE NO ES NECESARIO SIEMPRE ACOSTUMBRO A VENIRME TEMPRANO,NINGUNO
pues no es mucha la distancia que recorro asi que no tendria ningun inconveniente,no he tenido ninguna limitacion
,NINGUNA
PORQUE NO,NINGUNA
estoy trabajando desde casa,por el momento ninguna
"Porque en ese aspecto no me he visto afectado, ya que los camiones vienen vacíos",Ninguna
Porque hay menos trafico y el tiempo de trayecto es menor,"Ninguna, asisito a la empresa de 1 o 2 veces por semana y los días restantes los trabajo en casa"
No tengo ningún problema con los reajustes de horarios,"El tráfico producido por tantas obras viales, baches, asfaltos dañados, etc."
Al utlilizar UBER no existe congestionamiento,Ninguna. La empresa me apoya con el pago del transporte (UBER). 
SERIA EN UNA HORA NO PICO,"EL TRANSPORTE PUBLICO, TARDE DEMASIADO EN SALIR RUTA"
No hay congestionamiento vial por la zona donde vivo,ninguna
Se me facilita llegar mas temprano al trabajo menos gente en las calles,Ninguno
para llegar mas pronto al trabajo y a mi casa,No hay transporte publico para llegar ya sea mi trabajo o a mi casa
NUNCA NOS TOPAMOS CON TRAFICO  Y LLEGAMOS A BUEN TIEMPO A LA EMPRESA,NINGUNA
,Económicamente en la gasolina.
Evitar congestionamientos en el transporte,Aglomeración de personas por disminución de unidades de transporte público.
No me hace util los ambos cambios ,que tengo que trasladar a mis hijos también  
Mejor movilidad,mayor tiempo de espera en las rutas por consecuente retardos 
no ,"los camiones, hay menos transporte y los horarios de corridas son mas extensos, ya no pasan tan continuos con antes"
si porque tengo disponibilidad,nada
Tengo que llevar y recoger a mis hijos de casa de un familiar que los cuida durante mi jornada no puedo alterar ese horario ,Ninguna 
,
no es necesario,ninguna
porque si,ninguno
Adelantar es mas facil el traslado,"Ninguna, trabajo desde casa"
Al adelantar mi horario de entrada ahorraría tiempos de traslado al evitar el tráfico de carretera a Chapala por la mañana y por la tarde.,No aplica debido a que estoy trabajando desde casa.
El retrasar mi salida del horario de trabajo me genera mas gasto y tiempo de traslado,"No hay ruta de transporte por la empresa o publico del aeropuerto hacia Av. Adolf Horn, se tiene que trasladar hasta Tlaquepaque para tomar una ruta hacia el destino."
POR QUE SON LAS HORAS DE ATENCION ,"El uso del trasporte publico, a pesar de la pandemia la ruta del salto siempre va muy lleno e incluso con personas en las puertas y ya no hace paradas de que no cabe la gente"
tengo deberes en casa,Ninguna
Congestión en horario de salida 17:00-18:00,Gasto superior de gasolina
mi horario actual esta bien.,Por home Office no ha habido necesidad
MIENTRAS MAS TARDE ENTRE MAS GENTE HAY EN EL TRANSPORTE,LLEGAR TARDE
el trafico es elevado al salir mas tarde y tardas mas tiempo en llegar a casa.,La petición de no salir de casa debido a la posibilidad de contagiarse de COVID
"Para no tener congestión de tráfico , ni de personas en la calle o en el transporte público ",La congestión de gente en el transporte público y en las calles 
,"CASI NO HAY TRANSPORTE, MUCHA GENTE EN LOS MISMOS Y MIEDO A LA INFECCIÓN."
hay menos trafico,Solamente voy ocasionalmente a si que no tengo mucho que aportar en esta pregunta ya que la mayoría del tiempo estoy en home office
Prefiero levantarme mas temprano,Ninguno
Me pare bien el horario que manejo,No he tenido limitaciones
Menor cantidad de gente en el transporte público,"Mayor tiempo de espera del transporte, no tienen una planeación adecuada en horas pico, por consecuencia hay más gente en el transporte evitando la ""sana distancia"""
Es horario que me indica mi empresa,"Pocos camiones en la ruta y saturados (llenos), horarios muy espaciosos entre cada camion"
no,ninguna
se acomoda con los horarios para cuidar a mi hijo mientras su papa trabaja ya que la guarderia esta cerrada por la pandemia,ninguna
por la flexibilidad de horario,trafico
porque no,transporte va muy lleno y me retrasa la entrada a mi trabajo
ES MAS COMODO,NINGUNA 
Para apoyar el objetivo mencionado,ninguna
Establecer horarios diferentes = menos aglutinación a la hora de entrada/salida,"En realidad ninguna, de echo el traslado era mejor cuando todos estaban resguardados en sus casas"
Me parece más cómodo entrar temprano para salir temprano ,Ninguna
Para evitar encontrarme con mucho trafico o aglomeraciones en el transporte público,"horarios del transporte público muy retrasados, lo que provoca que para no llegar tarde a mi centro de trabajo, me salga mas de una hora antes de casa y me toque estar en la aglomeración esperando el transporte público"
Considero que se me dificultaría menos el traslado ,Reducción de transporte público 
SI SE ADELANTA O SE ATRASA LOS CAMIONES PASAN MAS LLENOS  Y YA NO HACEN PARADAS Y TENDRIA  RIESGO DE CONTAGIO. ,NINGUNA
Evitar aglomeraciones viales,ninguno
SON HORARIOS DETERMINADO DE ACUERDO A MI ACTIVIDAD DE TRABAJO,NINGUNA POR TENER AUTO PROPIO
No uso transporte publico,No estoy asistiendo 
SI SALDRIA AL MENOS 40 MIN ANTES NO HARIA TANTO TIEMPO NI GASTARIA TANTO,DISMINUYERON LOS CAMIONES O PASAN MUY TARDE
considero que si no entro en un horario concurrido tengo menos riesgo en el servicio publico,falta de transporte publico y que los camiones van muy llenos debería de haber más rutas y que pongan un limite de usuarios
"Para evitar que los camiones vaya llenos como siempre y tratar de cuidar la sana distancia, aunque mucha gente no usa cubrebocas en el  camion, ni los choferes","Yo tomo el camión de Chapala Cajititlán Arvento, no  hay suficientes camiones, salen cada 30 min. van llenos, no los sanitizan, no traen gel antibacterial, van super llenos porque no hay camiones y hay mucha gente que trabajamos en el rumbo del aeropuerto y muchos hasta GDL pero todos van llenos a cualquier hora"
Realizo Home Office,No he tenido limitaciones para trasladarme a mi centro de trabajo. Solo he asistido un par de veces por actividades necesarias o programadas. 
"es un horario que se me acomoda tanto por mi vida porsonal, como por comodidad ya que a esa hora muy pocas veses en el  transporte viaja  mucha gente.  solo que el costo del transporte se elevo y creo que por el servicio brindado es un robo. ","el costo del transporte publico, se elevo y por el servico que dan me parece un robo,  ya que no veo ningun extra sobre el que brindaba hace unos meses y creo que ante esta situacion el gobierno deberia ayudar a la gente. "
,costo de la gasolina
Por cooperacion y apoyo a la sociedad,Ninguna de importancia
"Quizas pudiera evitar un poco de la congestion vial, o bien, contribuir a evitar dicha congestión","Ninguna en general.  Durante el confinamiento, la afluencia vehicular era menor y obviamente los tiempos de traslado eran también menores."
,ninguna
"Podria entrar mas temprano, para salir mas temprano",pocos camiones
,No he tenido afortunadamente limitaciones 
Para evitar el trafico,Ninguno
,Ninguna 
Esto me daría mas tiempo para temas personales.,Ninguna
retrasar no por que se me dificulta salir mas tarde por mis Niñas,que los camiones van llenos y la gente no respeta las reglas de protección de seguridad
Para que fluya ,Ninguna. 
para facilitar los horarios de los demas,ninguno
evitar congestionamiento,Ninguno
,ninguna
Si puedo adelantar mi horario ,Ninguna 
segun necesidades de la empresa,ninguno
atiendo a mis hijos despues del trabajo,Ninguna porque tengo auto propio
Para evitar tanto trafico,soy persona vulnerable
,Ninguna
no es necesario,en mi caso ninguno 
por prevencion.de contagio.,ninguno.
Por la tarde me encuentro en clases en linea,La falta de un apoyo en solventar la gasolina y tener que trabajar con horario normal sin alguna flexibilidad ante los incrementos de contagios
,"El número de contagios en el Estado sigue en aumento, por lo tanto no hemos podido regresar de forma segura a la oficina "
nos favorece a todos.,ninguna
,no
,Ninguna 
me puedo transportar en mi auto,ninguna
Mejorar la movilidad  y ser mas productivo,"No he tenido que ir al trabajo, todo se atiende en Home Office"
enor afluencia de trafico,"no hay limitacion pero si mejoro el transito durante el confinamiento, y con el escalonamiento de horarios"
Al salir de casa a las 6:10 para llegar antes de las 7:00 el tráfico esta muy fluido. ,Ninguna 
EVITAR HORAS DE MAYOR CONGESTIAMIENTO VIAL Y LAS AGLOMERACIONES,"EL NO USAR LA FACILIDAD DEL TRANSPORTE PUBLICO, DEBIDO A LAS AGLOMERACIONES Y CON ELLO SE HA INCREMENTADO EL GASTO EN DICHO RUBRO"
,ninguno
Rolo turnos,Ninguna
"Por los horarios de descanso y cosas previas a la salida, como hacer el desayuno o tomar un baño.","Pues el uso del transporte publico para reducir el riesgo de contagio, y esto implico el aumento del costo por usar auto particular."
por movilidad,ninguna
para evitar la aglomeracion,ninguna puesto que tenemos transporte privado de la empresa
Prefiero salir antes de casa para estar con mi familia por la tarde.,Ninguna
"Mi horario ya se retraso una hora, más temprano (6 am), no sería funcional para mi ni mis labores",Ninguna
Rolo turnos,No poder utilizar el tren ligero por el riesgo de contagio
Para apoyar a la sociedad si está en nuestras posibilidades,Ninguna
regularmente los horarios en las empresas son de 8am a 5pm y entrar antes hará no estar tan congestionado el camino y/o los transportes,"Ninguno, debido a que he trabajado desde mi casa desde que inicio la pandemia, pero si hubiera tenido que presentarme el transporte publico es muy escaso y muy riesgoso por la acumulación de gente."
El retraso no representa menos flujo vehicular en los horarios de salida de la empresa.,Ninguna hasta el momento
Puedo acoplarme a los horarios!,Ninguna
Estoy a la disposición de las circunstancias ,Vivo cerca de la fábrica 
Entiendo la situación del estado y quiero lo mejor para todos.,Las obras publicas(mas lentas) y  trafico mas cargado. 
,Ninguna
no hay afectación,ninguna
Me gustaría entrar 6 am y salir más temprano 3 pm,Estoy en casa por embarazo 
Se complica la movilidad y la iluminación en el trayecto es deficiente.,Economica
No es necesario ya que tengo vehículo particular ,Ninguna 
Para que no afecte a mi vida personal,"La economía, pues las gasolinas estaban costando mucho. Sin embargo, durante la pandemia el costo de la gasolina bajó y la empresa nos da aopoyo de gasolina, aún así, tuve que pagar un servicio de mantenimiento de mi auto que no tenía contemplado (servicio por kilometraje antes de tiempo)"
,No he tenido problemas
,"No hay transporte del lugar donde vivo actualmente al trabajo, el horario en el que laboro de 8 - 17 hrs no hay medio de transporte, tendría que usar autobús es por eso que uso mi auto."
,Existencia de personal contagiado
en la mañana hay menos personas en las vialidades,las obras de periférico y Lopez mateos
,Carreteras en malas condiciones (periferico y nuevo periferico)
,NO APLICA
,
POR QUE MI TRABAJO DEPENDE DE OTRAS PERSONAS,NINGUNA
"no puedo más temprano debido a que camino de mi casa al lugar donde tomo el transporte, al ser más temprano está oscuro y corro peligro de algún asalto.","El tener que caminar de casa al lugar donde tomo el transporte, debido a que son alrededor de 25 minutos caminando, además de que es por la mañana, y hay lugares demasiado solos y peligrosos."
Si ingresamos mas temprano podemos realizar actividades  con mas frescura en la mente y emocionalmente  sabes que te desocupas mas pronto para ir  a casa y realizar otras tareas de familia  o tramites en oficinas de servicios que cierran a las 5pm,"Uso de Transporte publico para evitar estar en espacios con muchas personas y propenso a contagio,  esto ocasiona elevar gastos por uso de automóvil mas frecuenta.  "
"por que yo utilizo el transporte de la empresa, para llegar a la misma y este tiene un horario fijo para el ingreso.","la verdad la afectación ah sido mínima, solo que el transporte publico no pasa tan frecuentemente, y por lo mismo debemos acudir a tomar carros de sitio o de alguna plataforma desde el celular"
no tengo inconvenientes,"menos opciones de traslado disponible, para evitar las aglomeraciones."
"Para evitar el trafico, menor tiempo en traslado y menor contaminación al ser mas eficiente la movilidad.",Ninguna.
por mi tipo de trabajo no requiero una hora inicial o final especifica,cambios de horario
Para evitar el tráfico que se genera antes de las 8 am,No he tenido limitaciones
"Me es complicado adelantar el horario por mi hijo, necesito llevarlo con mi madre o mi suegra para que me auxilien en su cuidado en la mañana y despues puedo ir a la oficina, no importa si me quedo una o dos horas de más.","No me traslado, estoy trabajando en Home Office"
,"Estar traslado de cosas de trabajo, como computadora, documentación, cada vez que regreso o voy a mi casa para poder laborar"
,ninguna
"La distancia que recorro de mi domicilio al trabajo es corta, no me afectaría el adelantar o retrasar un poco mi horario.",El que ocasionalmente se tenga que tomar el transporte publico y no siempre se toman las medidas sanitarias por el resto de las personas
"Me podría adaptar a cualquiera de las opciones, con la finalidadd de ayudar a la movilidad, que al final también sería beneficio para mí","Hasta el momento el tráfico se ha visto disminuido, entiendo por el incremento de trabajo en casa y horarios escalonados"